word,frequency
no,29744
prêtre,29664
courses,29657
établissements,29628
l'éducation,29621
rôles,29612
matin,29601
av,29582
musical,29568
situés,29557
restent,29546
victor,29540
vision,29538
dos,29531
australie,29526
bus,29510
portent,29502
l'architecte,29480
désigné,29478
appelle,29446
transports,29439
légion,29436
lieutenant,29431
j-c,29424
assure,29411
réaction,29405
révèle,29385
napoléon,29385
sait,29384
francisco,29360
mathématiques,29341
langage,29329
l'italie,29326
enregistré,29314
classes,29313
servir,29300
conséquence,29237
diffusé,29230
envers,29226
s’est,29225
entier,29223
notre-dame,29218
vierge,29167
salles,29166
league,29159
cycliste,29155
courte,29149
format,29147
privée,29093
publiques,29087
paru,29078
voitures,29032
portée,28999
al,28988
vrai,28958
licence,28941
contenant,28930
perte,28925
simon,28899
administrative,28866
préfecture,28856
musiciens,28851
correspondant,28802
provinces,28801
occasion,28800
conservé,28799
officiers,28794
stations,28794
quantité,28761
disparu,28731
épreuves,28728
rio,28722
d'italie,28700
trafic,28684
aujourd’hui,28679
représenté,28661
traduction,28655
éviter,28635
barcelone,28616
grande-bretagne,28580
chefs,28569
succède,28554
machine,28546
présidentielle,28522
der,28510
l’histoire,28507
européennes,28470
manche,28448
réponse,28446
circulation,28427
alain,28422
solution,28418
objectif,28410
l'épisode,28397
rues,28395
sportive,28392
l'extérieur,28340
vent,28340
étrangers,28338
d'angleterre,28317
blancs,28310
marcel,28306
donnée,28300
table,28287
méthodes,28250
légèrement,28207
mettant,28202
monte,28161
princesse,28136
c'était,28133
tentative,28124
artiste,28118
constituent,28090
standard,28089
pêche,28074
d'études,28059
récemment,28021
battu,28015
lancer,28007
eau,27999
précédent,27975
comprenant,27972
apparition,27965
condamné,27958
autrefois,27947
complètement,27942
l'hôpital,27911
renaissance,27888
patrick,27869
l'agriculture,27845
live,27835
tourne,27832
pacifique,27820
images,27820
humains,27820
compétitions,27783
